MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
21,80,18,43,311,387,Baseline
20,80,19,42,310,387,Baseline
21,81,17,41,311,387,Baseline
20,79,18,43,312,389,Baseline
20,80,19,42,311,387,Baseline
21,80,17,42,310,387,Baseline
21,80,18,42,311,388,Baseline
21,80,18,42,311,387,Baseline
21,81,18,41,310,386,Baseline
21,80,17,42,310,387,Baseline
21,81,17,42,308,386,Baseline
20,81,18,43,310,387,Baseline
21,80,17,42,311,389,Baseline
21,80,18,42,310,388,Baseline
21,80,18,41,310,388,Baseline
22,80,18,42,310,388,Baseline
21,80,19,42,309,386,Baseline
21,80,18,43,310,386,Baseline
21,80,18,42,310,388,Baseline
21,80,18,42,309,385,Baseline
21,80,18,42,309,386,Baseline
20,80,18,42,309,385,Baseline
21,79,18,42,309,387,Baseline
21,79,17,42,310,388,Baseline
21,79,16,41,308,386,Baseline
20,80,16,42,309,386,Baseline
22,80,18,42,308,385,Baseline
21,81,17,41,309,386,Baseline
21,79,17,41,308,385,Baseline
21,79,18,42,309,386,Baseline
21,79,17,41,308,385,Baseline
20,79,18,42,310,386,Baseline
21,78,18,41,307,386,Baseline
21,79,18,42,307,385,Baseline
20,78,18,42,308,386,Baseline
21,80,18,42,308,385,Baseline
23,78,17,42,306,383,Baseline
20,79,18,42,307,383,Baseline
21,78,18,41,308,385,Baseline
20,79,18,41,305,382,Baseline
21,78,17,41,305,381,Baseline
20,77,18,42,307,384,Baseline
22,78,18,41,305,382,Baseline
23,79,18,42,305,381,Baseline
20,78,18,42,306,383,Baseline
21,78,18,39,306,383,Baseline
21,79,17,41,306,382,Baseline
21,79,18,41,306,382,Baseline
20,77,18,41,305,381,Baseline
20,78,18,41,307,385,Baseline
20,78,18,42,305,381,Baseline
21,79,17,42,304,381,Baseline
20,78,18,41,304,379,Baseline
21,77,17,41,304,380,Baseline
21,77,18,41,305,381,Baseline
20,77,17,41,305,382,Baseline
21,77,18,43,304,381,Baseline
20,77,18,40,303,379,Baseline
21,78,18,41,303,378,Baseline
20,78,18,41,304,379,Baseline
20,78,17,42,304,380,Baseline
20,79,17,41,304,380,Baseline
