MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
20,82,17,52,338,395,Baseline
20,81,17,53,338,396,Baseline
20,81,17,52,338,395,Baseline
20,81,16,53,338,395,Baseline
20,81,17,52,338,395,Baseline
20,81,17,53,338,395,Baseline
19,82,17,53,338,394,Baseline
20,81,17,53,338,394,Baseline
20,81,18,52,338,395,Baseline
20,81,17,52,338,396,Baseline
20,81,17,53,338,394,Baseline
20,82,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,337,394,Baseline
20,82,18,53,338,395,Baseline
20,82,17,52,338,395,Baseline
20,81,17,53,337,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,396,Baseline
20,81,17,52,338,395,Baseline
20,81,17,53,338,396,Baseline
20,81,17,52,337,394,Baseline
20,81,16,52,338,395,Baseline
20,81,18,52,337,394,Baseline
20,81,17,53,337,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,82,18,52,338,394,Baseline
20,81,17,52,338,395,Baseline
20,81,18,52,337,394,Baseline
20,81,17,52,338,394,Baseline
20,81,17,52,338,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,82,18,53,337,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,82,17,52,337,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,337,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,80,17,52,338,396,Baseline
20,81,17,52,338,395,Baseline
20,81,18,52,337,394,Baseline
20,81,17,52,338,395,Baseline
20,82,17,52,338,395,Baseline
20,81,17,53,337,394,Baseline
20,82,17,52,338,395,Baseline
20,81,17,52,337,395,Baseline
20,81,17,52,337,394,Baseline
20,81,18,52,337,394,Baseline
20,81,17,52,337,395,Baseline
20,80,17,52,337,394,Baseline
20,81,17,53,337,394,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,338,395,Baseline
20,81,17,52,337,395,Baseline
20,81,17,52,337,394,Baseline
