Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,91.5640599,584.0865225,133.4475874,336.2712146,750.452579,764.1131448
Soy Sauce,100.2079867,575.9417637,121.4575707,298.8735441,718.4326123,745.6439268
Soy Sauce,105.6638935,590.3344426,136.3477537,342.1863561,743.0715474,765.171381
Soy Sauce,84.70189702,539.6395664,120.8644986,261.4065041,706.2140921,762.504065
Soy Sauce,93.81023102,574.7359736,128.7392739,297.6963696,744.6435644,773.5231023
Soy Sauce,85.83801653,575.4561983,119.8132231,292.0842975,742.7950413,768.0495868
Soy Sauce,96.77537438,591.3677205,132.2063228,315.5856905,754.8202995,783.547421
Soy Sauce,81.01331115,561.6605657,118.5790349,276.6788686,732.3361065,760.3843594
Soy Sauce,84.82758621,572.4646962,116.6256158,282.6190476,735.7011494,767.4351396
Soy Sauce,86.47463175,573.8592471,118.1309329,275.2291326,723.8248773,763.5090016
Soy Sauce,84.89508197,567.9409836,117.9983607,273.5672131,727.6442623,759.8098361
Soy Sauce,94.07154742,578.7520799,138.18802,302.5540765,724.2396007,746.2079867
Soy Sauce,119.9081803,606.1101836,171.457429,362.7813022,761.8781302,771.7896494
Soy Sauce,95.46710526,603.375,132.4128289,303.0559211,746.6973684,776.2368421
Soy Sauce,106.1252087,586.3722871,148.5559265,318.293823,739.5993322,755.8430718
Soy Sauce,108.2838063,565.0550918,158.1903172,292.7445743,709.5275459,738.7111853
Soy Sauce,107.3989983,569.2804674,160.4974958,290.6611018,716.8213689,738.2804674
Soy Sauce,103.5993322,568.4924875,150.2086811,287.7762938,710.3155259,734.3055092
Soy Sauce,63.56572379,514.4758735,97.18968386,267.0049917,696.3394343,735.5191348
Soy Sauce,61.12312812,525.9484193,90.52745424,274.7271215,701.6056572,748.0765391
Soy Sauce,86.00499168,575.9650582,122.7936772,323.1763727,730.266223,761.5956739
Soy Sauce,89.3078203,566.1181364,127.7703827,304.9384359,710.5457571,751.6938436
Soy Sauce,93.34941764,567.5524126,148.6988353,314.5723794,747.4442596,755.2279534
Soy Sauce,88.96672213,553.8835275,136.7121464,278.2828619,712.124792,741.6738769
Soy Sauce,107.6705491,608.234609,155.8219634,324.1514143,729.7920133,760.8735441
Soy Sauce,96.6748366,560.1111111,152.8937908,314.870915,715.9901961,750.2156863
Soy Sauce,97.76694215,569.5735537,153.614876,326.3768595,727.5190083,751.6495868
Soy Sauce,100.539604,570.9719472,159.4356436,318.2442244,726.1815182,749.6039604
Soy Sauce,103.9387417,588.5645695,159.1738411,322.6622517,737.5099338,769.794702
Soy Sauce,110.7069536,596.9983444,147.7665563,314.5529801,715.5115894,762.3890728
Soy Sauce,116.0016474,591.8484349,161.8039539,342.7611203,731.1746293,769.9884679
Fish Sauce,37.20133,128.6322795,30.883527,97.69384359,420.6023295,546.8835275
Fish Sauce,35.9265442,129.30217,30.8430717,94.84847,446.4973958,545.1519432
Fish Sauce,34.128594,131.842715,31.418295,89.215384,482.917264,532.418295
Fish Sauce,39.215842,126.984215,29.715842,103.518472,385.194716,562.284915
Fish Sauce,33.842716,132.415296,31.784215,87.529418,495.628417,529.194716
Fish Sauce,36.518472,129.872615,30.412583,95.318472,452.915284,548.315742
Fish Sauce,40.128594,125.918472,29.215384,105.842716,372.184295,565.918472
Fish Sauce,35.715284,130.984215,31.215384,92.184295,469.715284,535.628417
Fish Sauce,37.284915,128.415296,30.715284,98.915284,431.628417,551.215384
Fish Sauce,32.918472,133.715284,32.215384,85.715284,508.194716,525.715284
Fish Sauce,41.215384,124.815284,28.918472,108.415296,359.715284,569.215384
Fish Sauce,37.231584,128.652719,30.929184,98.512638,417.895264,547.418295
Fish Sauce,36.801372,129.132584,30.864815,95.918472,439.002417,545.684215
Fish Sauce,36.528417,128.874215,30.891472,96.472638,426.118594,546.261472
