Label,MQ2,MQ3,MQ135,MQ136,MQ137,MQ138
Soy Sauce,91.5640599,584.0865225,133.4475874,336.2712146,750.452579,764.1131448
Soy Sauce,100.2079867,575.9417637,121.4575707,298.8735441,718.4326123,745.6439268
Soy Sauce,105.6638935,590.3344426,136.3477537,342.1863561,743.0715474,765.171381
Soy Sauce,84.70189702,539.6395664,120.8644986,261.4065041,706.2140921,762.504065
Soy Sauce,93.81023102,574.7359736,128.7392739,297.6963696,744.6435644,773.5231023
Soy Sauce,85.83801653,575.4561983,119.8132231,292.0842975,742.7950413,768.0495868
Soy Sauce,96.77537438,591.3677205,132.2063228,315.5856905,754.8202995,783.547421
Soy Sauce,81.01331115,561.6605657,118.5790349,276.6788686,732.3361065,760.3843594
Soy Sauce,84.82758621,572.4646962,116.6256158,282.6190476,735.7011494,767.4351396
Soy Sauce,86.47463175,573.8592471,118.1309329,275.2291326,723.8248773,763.5090016
Soy Sauce,84.89508197,567.9409836,117.9983607,273.5672131,727.6442623,759.8098361
Soy Sauce,94.07154742,578.7520799,138.18802,302.5540765,724.2396007,746.2079867
Soy Sauce,119.9081803,606.1101836,171.457429,362.7813022,761.8781302,771.7896494
Soy Sauce,95.46710526,603.375,132.4128289,303.0559211,746.6973684,776.2368421
Soy Sauce,106.1252087,586.3722871,148.5559265,318.293823,739.5993322,755.8430718
Soy Sauce,108.2838063,565.0550918,158.1903172,292.7445743,709.5275459,738.7111853
Soy Sauce,107.3989983,569.2804674,160.4974958,290.6611018,716.8213689,738.2804674
Soy Sauce,103.5993322,568.4924875,150.2086811,287.7762938,710.3155259,734.3055092
Soy Sauce,63.56572379,514.4758735,97.18968386,267.0049917,696.3394343,735.5191348
Soy Sauce,61.12312812,525.9484193,90.52745424,274.7271215,701.6056572,748.0765391
Soy Sauce,86.00499168,575.9650582,122.7936772,323.1763727,730.266223,761.5956739
Soy Sauce,89.3078203,566.1181364,127.7703827,304.9384359,710.5457571,751.6938436
Soy Sauce,93.34941764,567.5524126,148.6988353,314.5723794,747.4442596,755.2279534
Soy Sauce,88.96672213,553.8835275,136.7121464,278.2828619,712.124792,741.6738769
Soy Sauce,107.6705491,608.234609,155.8219634,324.1514143,729.7920133,760.8735441
Soy Sauce,96.6748366,560.1111111,152.8937908,314.870915,715.9901961,750.2156863
Soy Sauce,97.76694215,569.5735537,153.614876,326.3768595,727.5190083,751.6495868
Soy Sauce,100.539604,570.9719472,159.4356436,318.2442244,726.1815182,749.6039604
Soy Sauce,103.9387417,588.5645695,159.1738411,322.6622517,737.5099338,769.794702
Soy Sauce,110.7069536,596.9983444,147.7665563,314.5529801,715.5115894,762.3890728
Soy Sauce,116.0016474,591.8484349,161.8039539,342.7611203,731.1746293,769.9884679
Fish Sauce,20.00665557,140.1164725,18.5391015,75.62229617,389.4675541,447.7720466
Fish Sauce,20.70529801,146.7698675,18.49668874,54.6307947,342.9950331,422.3741722
Fish Sauce,20.60732113,121.7221298,18.27121464,58.63061564,355.1697171,441.7154742
Fish Sauce,20.69435216,125.7624585,18.14950166,58.57142857,354.2491694,440.8787375
Fish Sauce,26.81697171,186.5707155,21.47920133,58.56239601,376.0732113,495.3777038
Fish Sauce,23.2675367,147.223491,19.46166395,51.39151713,348.3996737,466.8597064
Fish Sauce,22.78104575,135.2724307,19.14355628,49.73735726,338.9363785,453.9151713
Fish Sauce,22.85148515,139.630363,19.32343234,51.01815182,352.0858086,466.3613861
Fish Sauce,22.26829268,130.3268293,18.85691057,48.90243902,341.4341463,452.401626
Fish Sauce,20.05823627,140.2828619,18.32113145,76.63560732,384.484193,447.0648918
Fish Sauce,22.56321839,128.5238095,20.95238095,76.31527094,467.1100164,549.1642036
Fish Sauce,22.37271215,153.1747088,19.75041597,62.81031614,412.8086522,511.8851913
