Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 4,,93,19,46,322,480,Fish Sauce
Trial 4,23,91,19,46,319,479,Fish Sauce
Trial 4,23,90,19,45,320,480,Fish Sauce
Trial 4,23,90,18,45,319,479,Fish Sauce
Trial 4,23,91,20,45,320,479,Fish Sauce
Trial 4,22,91,19,47,320,478,Fish Sauce
Trial 4,23,93,19,46,322,480,Fish Sauce
Trial 4,23,92,19,45,320,478,Fish Sauce
Trial 4,22,91,19,46,320,478,Fish Sauce
Trial 4,23,91,19,46,322,482,Fish Sauce
Trial 4,22,91,19,47,323,480,Fish Sauce
Trial 4,23,91,19,45,322,480,Fish Sauce
Trial 4,23,91,19,45,321,480,Fish Sauce
Trial 4,23,92,20,46,324,482,Fish Sauce
Trial 4,23,91,19,45,324,483,Fish Sauce
Trial 4,22,92,20,46,322,477,Fish Sauce
Trial 4,23,92,19,45,322,479,Fish Sauce
Trial 4,22,92,19,46,322,479,Fish Sauce
Trial 4,23,92,19,46,323,481,Fish Sauce
Trial 4,22,93,19,46,324,479,Fish Sauce
Trial 4,22,93,19,46,324,481,Fish Sauce
Trial 4,23,93,20,46,324,482,Fish Sauce
Trial 4,23,94,19,46,324,481,Fish Sauce
Trial 4,23,93,19,45,324,481,Fish Sauce
Trial 4,23,93,19,46,325,482,Fish Sauce
Trial 4,22,94,20,46,324,480,Fish Sauce
Trial 4,22,94,20,47,324,479,Fish Sauce
Trial 4,23,92,20,45,326,482,Fish Sauce
Trial 4,22,93,20,46,326,482,Fish Sauce
Trial 4,24,94,18,46,326,481,Fish Sauce
Trial 4,22,95,20,46,325,480,Fish Sauce
Trial 4,21,94,19,46,326,483,Fish Sauce
Trial 4,23,94,19,46,325,480,Fish Sauce
Trial 4,22,95,20,46,326,480,Fish Sauce
Trial 4,23,94,18,47,328,485,Fish Sauce
Trial 4,23,95,19,47,328,483,Fish Sauce
Trial 4,23,95,20,46,327,484,Fish Sauce
Trial 4,23,97,19,46,327,483,Fish Sauce
Trial 4,22,95,21,46,326,480,Fish Sauce
Trial 4,25,96,20,46,326,481,Fish Sauce
Trial 4,22,95,20,46,327,483,Fish Sauce
Trial 4,23,96,18,46,326,482,Fish Sauce
Trial 4,23,96,19,47,327,483,Fish Sauce
Trial 4,23,97,20,47,330,486,Fish Sauce
Trial 4,23,97,19,47,329,484,Fish Sauce
Trial 4,23,96,19,47,330,484,Fish Sauce
Trial 4,23,97,19,47,330,485,Fish Sauce
Trial 4,23,96,19,47,328,483,Fish Sauce
Trial 4,22,96,19,47,328,484,Fish Sauce
Trial 4,22,98,20,47,330,485,Fish Sauce
Trial 4,23,97,20,48,331,487,Fish Sauce
Trial 4,23,98,20,47,331,486,Fish Sauce
Trial 4,25,99,20,47,328,483,Fish Sauce
Trial 4,23,97,20,47,328,483,Fish Sauce
Trial 4,23,98,20,46,329,483,Fish Sauce
Trial 4,23,98,20,47,329,483,Fish Sauce
Trial 4,24,97,19,48,333,488,Fish Sauce
Trial 4,23,98,20,48,333,488,Fish Sauce
Trial 4,23,99,19,46,332,487,Fish Sauce
Trial 4,22,98,20,49,330,484,Fish Sauce
Trial 4,23,99,19,47,330,485,Fish Sauce
Trial 4,23,99,19,46,330,485,Fish Sauce
Trial 4,23,99,20,46,330,484,Fish Sauce
Trial 4,23,100,20,48,331,487,Fish Sauce
Trial 4,22,100,20,47,331,486,Fish Sauce
Trial 4,23,99,20,47,331,486,Fish Sauce
Trial 4,22,100,20,48,331,486,Fish Sauce
Trial 4,22,100,20,47,331,485,Fish Sauce
Trial 4,24,101,20,47,331,485,Fish Sauce
Trial 4,23,101,20,48,332,487,Fish Sauce
Trial 4,23,101,19,47,331,487,Fish Sauce
Trial 4,22,101,20,49,333,488,Fish Sauce
Trial 4,23,102,20,48,333,490,Fish Sauce
Trial 4,22,101,20,48,333,487,Fish Sauce
Trial 4,23,101,20,47,332,486,Fish Sauce
Trial 4,23,101,20,48,332,488,Fish Sauce
Trial 4,23,102,21,48,332,486,Fish Sauce
Trial 4,23,102,20,48,332,486,Fish Sauce
Trial 4,23,100,20,48,333,487,Fish Sauce
Trial 4,24,103,20,47,334,489,Fish Sauce
Trial 4,24,102,20,47,334,488,Fish Sauce
Trial 4,23,103,20,48,333,487,Fish Sauce
Trial 4,23,102,20,48,333,487,Fish Sauce
Trial 4,23,102,20,47,333,488,Fish Sauce
Trial 4,23,103,20,48,333,487,Fish Sauce
Trial 4,23,102,20,48,333,488,Fish Sauce
Trial 4,23,103,20,48,335,492,Fish Sauce
Trial 4,23,104,21,48,335,490,Fish Sauce
Trial 4,23,104,21,48,335,488,Fish Sauce
Trial 4,23,103,19,46,334,488,Fish Sauce
Trial 4,23,104,20,48,335,489,Fish Sauce
Trial 4,23,104,20,48,335,489,Fish Sauce
Trial 4,22,105,20,48,335,489,Fish Sauce
Trial 4,23,105,19,47,337,493,Fish Sauce
Trial 4,23,104,20,48,336,489,Fish Sauce
Trial 4,22,105,19,48,336,489,Fish Sauce
