Label,MQ2,MQ3,MQ135,MQ136
Unknown,5,100,20,58
Unknown,25,100,21,58
Unknown,25,99,21,58
Unknown,24,100,21,59
Unknown,25,100,21,58
Unknown,24,100,20,58
Unknown,25,100,20,58
Unknown,24,100,21,59
Unknown,25,99,21,58
Unknown,25,100,20,58
Unknown,25,99,20,58
Unknown,24,99,21,58
Unknown,25,100,20,58
Unknown,25,99,21,58
Unknown,24,99,21,59
Unknown,25,99,21,59
Unknown,24,100,21,58
Unknown,25,100,20,58
Unknown,24,100,21,59
Unknown,25,99,20,58
Unknown,25,99,21,58
Unknown,25,99,20,58
Unknown,25,99,20,58
Unknown,25,99,20,58
Unknown,24,100,20,58
Unknown,25,100,21,58
Unknown,25,99,20,58
Unknown,24,99,20,59
Unknown,25,100,21,58
Unknown,24,99,20,58
Unknown,25,99,20,58
Unknown,25,100,21,58
Unknown,25,100,21,58
Unknown,24,99,20,58
Unknown,25,99,20,58
Unknown,25,100,20,58
Unknown,25,99,21,58
