Label,MQ2,MQ3,MQ135,MQ136
Unknown,84,603,117,269
Unknown,82,600,116,269
Unknown,83,602,118,271
Unknown,83,600,117,270
Unknown,84,603,119,272
Unknown,84,604,118,272
Unknown,84,605,118,271
Unknown,83,601,117,269
Unknown,84,603,117,269
Unknown,82,600,116,269
Unknown,83,602,118,271
Unknown,83,600,117,270
Unknown,84,603,119,272
Unknown,84,604,118,272
Unknown,84,605,118,271
Unknown,85,603,119,272
Unknown,85,604,119,271
Unknown,86,604,120,272
Unknown,86,605,120,273
Unknown,87,605,119,272
Unknown,86,605,119,273
Unknown,86,606,120,274
Unknown,87,606,121,274
Unknown,87,606,121,275
Unknown,87,607,121,274
Unknown,87,607,121,275
Unknown,86,607,122,275
Unknown,87,608,122,276
Unknown,88,608,122,276
Unknown,88,608,122,276
Unknown,88,608,123,276
Unknown,89,609,123,277
Unknown,88,609,123,277
Unknown,90,609,123,277
Unknown,90,609,123,277
Unknown,89,609,124,278
Unknown,90,610,124,278
Unknown,90,610,125,278
Unknown,90,611,124,279
Unknown,91,610,125,278
Unknown,91,611,125,279
Unknown,91,611,125,279
Unknown,91,612,126,280
Unknown,91,612,125,280
Unknown,92,613,126,280
Unknown,92,612,125,280
Unknown,92,612,126,281
Unknown,91,613,127,281
Unknown,93,613,127,281
Unknown,93,614,127,281
Unknown,94,614,127,282
Unknown,93,614,127,282
Unknown,93,615,128,282
Unknown,94,615,128,282
Unknown,94,615,128,283
Unknown,94,615,128,283
Unknown,95,616,128,283
Unknown,94,616,128,283
Unknown,95,616,128,284
Unknown,95,617,129,284
Unknown,95,616,129,284
Unknown,94,617,129,284
Unknown,96,618,129,284
Unknown,97,617,129,284
Unknown,96,618,130,286
Unknown,96,618,130,286
Unknown,96,618,130,286
Unknown,97,619,130,286
Unknown,96,619,131,286
Unknown,97,619,131,286
Unknown,96,619,131,287
Unknown,97,619,130,287
Unknown,98,619,131,287
Unknown,98,620,132,288
Unknown,98,620,131,287
Unknown,98,620,132,288
Unknown,98,621,132,288
Unknown,99,621,132,289
Unknown,99,621,132,289
Unknown,98,622,133,289
Unknown,99,621,132,289
Unknown,100,623,133,289
Unknown,99,622,133,290
Unknown,100,623,134,290
Unknown,100,623,133,290
Unknown,100,623,133,290
Unknown,101,623,134,290
Unknown,100,622,134,290
Unknown,101,623,133,291
Unknown,101,623,133,291
Unknown,101,624,134,291
Unknown,101,624,134,291
Unknown,102,624,135,292
Unknown,102,624,135,292
Unknown,102,625,135,292
Unknown,102,625,135,292
Unknown,102,626,135,291
Unknown,102,625,135,293
Unknown,103,625,134,294
Unknown,103,628,136,294
Unknown,103,630,136,296
Unknown,103,629,137,295
Unknown,104,628,137,295
Unknown,103,627,137,295
Unknown,103,631,136,294
Unknown,104,626,136,294
Unknown,104,627,137,294
Unknown,103,627,137,295
Unknown,104,627,137,295
Unknown,104,627,137,294
Unknown,104,627,138,295
Unknown,105,628,137,296
Unknown,105,628,138,296
Unknown,105,629,138,296
Unknown,105,627,137,296
Unknown,105,628,138,296
Unknown,105,629,138,297
Unknown,106,629,138,297
Unknown,105,629,138,297
Unknown,106,629,138,297
Unknown,106,629,139,297
Unknown,106,629,138,297
Unknown,106,629,139,298
Unknown,106,630,139,297
Unknown,106,630,139,298
Unknown,107,630,139,298
Unknown,108,631,139,298
Unknown,108,631,140,299
Unknown,107,631,140,299
Unknown,108,631,140,299
Unknown,107,631,140,299
Unknown,107,631,141,298
Unknown,108,632,140,300
Unknown,108,631,140,300
Unknown,108,632,140,300
Unknown,108,632,140,300
Unknown,109,632,140,300
Unknown,108,632,140,300
Unknown,108,632,140,300
Unknown,108,633,141,300
Unknown,109,632,140,299
Unknown,109,632,141,301
Unknown,110,633,142,301
Unknown,109,633,142,301
Unknown,109,634,142,301
Unknown,110,634,141,302
Unknown,110,633,142,302
Unknown,110,634,142,303
Unknown,111,634,142,302
Unknown,110,632,142,302
Unknown,110,635,142,303
Unknown,110,634,142,303
Unknown,111,635,142,302
Unknown,112,634,142,303
Unknown,111,635,143,303
Unknown,111,635,144,303
Unknown,111,635,143,304
Unknown,111,636,143,303
Unknown,111,633,143,304
Unknown,112,636,144,304
Unknown,111,637,143,304
Unknown,111,636,144,304
Unknown,112,637,144,305
Unknown,112,636,144,305
Unknown,112,637,144,305
Unknown,113,637,144,305
Unknown,113,636,144,305
Unknown,114,637,145,306
Unknown,112,637,144,305
Unknown,112,637,144,305
Unknown,113,637,145,306
Unknown,113,637,145,306
Unknown,113,637,145,306
Unknown,114,637,145,306
Unknown,113,638,145,306
Unknown,113,638,144,306
Unknown,113,639,146,307
Unknown,114,638,145,307
Unknown,114,638,145,307
Unknown,114,639,145,307
Unknown,114,638,145,308
Unknown,114,639,145,307
Unknown,114,639,146,308
Unknown,115,639,146,308
Unknown,115,637,146,307
Unknown,115,639,146,308
Unknown,115,640,146,309
Unknown,115,640,146,308
Unknown,115,640,146,308
Unknown,115,638,147,308
Unknown,115,639,147,309
Unknown,115,640,146,309
Unknown,116,640,147,309
Unknown,116,638,146,309
Unknown,115,640,148,309
Unknown,115,641,147,309
Unknown,116,639,148,308
Unknown,116,639,146,309
Unknown,116,640,147,309
Unknown,116,640,147,309
Unknown,116,640,148,309
Unknown,116,641,148,310
Unknown,116,641,148,310
Unknown,117,641,148,310
Unknown,117,642,149,311
Unknown,117,641,148,311
Unknown,116,642,148,310
Unknown,117,641,148,310
Unknown,118,642,149,311
Unknown,118,641,149,312
Unknown,117,642,149,310
Unknown,118,642,149,311
Unknown,118,642,149,312
Unknown,117,642,148,311
Unknown,118,642,149,312
Unknown,118,642,149,312
Unknown,118,642,149,311
Unknown,118,642,149,312
Unknown,118,644,149,312
Unknown,118,641,150,311
Unknown,118,643,149,312
Unknown,118,644,150,313
Unknown,118,643,149,312
Unknown,118,644,149,312
Unknown,119,643,150,312
Unknown,119,643,150,313
Unknown,118,643,150,313
Unknown,118,644,150,313
Unknown,119,642,150,313
Unknown,119,644,150,313
Unknown,119,645,151,314
Unknown,120,644,151,314
Unknown,120,645,151,314
Unknown,120,645,151,314
Unknown,120,646,151,314
Unknown,120,645,150,314
Unknown,120,645,151,315
Unknown,119,643,150,314
Unknown,120,645,150,314
Unknown,121,645,151,314
Unknown,121,645,151,315
Unknown,120,645,151,314
Unknown,120,645,151,315
Unknown,121,646,151,315
Unknown,120,646,151,315
Unknown,121,646,152,316
Unknown,121,646,152,316
Unknown,121,646,152,316
Unknown,120,646,152,316
Unknown,121,646,152,316
Unknown,122,647,152,316
Unknown,121,646,152,316
Unknown,121,646,152,316
Unknown,121,645,153,316
Unknown,122,646,152,315
Unknown,122,647,153,316
Unknown,121,647,152,316
Unknown,122,647,153,317
Unknown,122,647,153,316
Unknown,122,647,153,317
Unknown,123,648,153,317
Unknown,122,647,152,316
Unknown,122,646,153,317
Unknown,123,646,153,316
Unknown,123,648,153,317
Unknown,122,648,152,317
Unknown,122,648,153,317
Unknown,123,648,154,318
Unknown,123,648,153,318
Unknown,122,648,154,318
Unknown,123,648,153,318
Unknown,123,647,153,317
Unknown,122,645,152,318
Unknown,122,648,154,318
Unknown,123,649,154,319
Unknown,123,649,154,318
Unknown,124,649,154,318
Unknown,123,648,154,319
Unknown,124,649,154,319
Unknown,124,649,154,319
Unknown,123,649,154,319
Unknown,124,649,154,319
Unknown,124,649,155,319
Unknown,124,649,154,319
Unknown,124,649,154,319
Unknown,124,650,155,319
Unknown,125,649,155,320
Unknown,125,649,155,319
Unknown,124,650,155,320
Unknown,125,649,154,319
Unknown,123,650,155,320
Unknown,124,650,154,320
Unknown,125,650,156,320
Unknown,125,650,155,320
Unknown,125,650,155,320
Unknown,125,650,155,320
Unknown,125,650,155,320
Unknown,125,650,155,321
Unknown,125,649,155,320
Unknown,125,650,156,321
Unknown,125,650,156,321
Unknown,126,651,155,321
Unknown,126,651,155,321
Unknown,126,650,156,321
Unknown,125,650,156,321
Unknown,126,651,156,321
Unknown,125,651,156,322
Unknown,125,649,156,321
Unknown,126,651,156,321
Unknown,126,651,156,322
Unknown,126,651,156,322
Unknown,126,652,157,322
Unknown,126,652,156,322
Unknown,126,651,156,322
Unknown,126,652,156,322
Unknown,126,651,157,323
Unknown,126,650,157,322
Unknown,126,651,157,322
Unknown,126,652,157,323
Unknown,127,651,157,322
Unknown,126,652,156,323
