Label,MQ2,MQ3,MQ135,MQ136
Soy Sauce,91.5640599,584.0865225,133.4475874,336.2712146
Soy Sauce,100.2079867,575.9417637,121.4575707,298.8735441
Soy Sauce,105.6638935,590.3344426,136.3477537,342.1863561
Soy Sauce,84.70189702,539.6395664,120.8644986,261.4065041
Soy Sauce,93.81023102,574.7359736,128.7392739,297.6963696
Soy Sauce,85.83801653,575.4561983,119.8132231,292.0842975
Soy Sauce,96.77537438,591.3677205,132.2063228,315.5856905
Soy Sauce,81.01331115,561.6605657,118.5790349,276.6788686
Soy Sauce,84.82758621,572.4646962,116.6256158,282.6190476
Soy Sauce,86.47463175,573.8592471,118.1309329,275.2291326
Soy Sauce,84.89508197,567.9409836,117.9983607,273.5672131
Soy Sauce,94.07154742,578.7520799,138.18802,302.5540765
Soy Sauce,119.9081803,606.1101836,171.457429,362.7813022
Soy Sauce,95.46710526,603.375,132.4128289,303.0559211
Soy Sauce,106.1252087,586.3722871,148.5559265,318.293823
Soy Sauce,108.2838063,565.0550918,158.1903172,292.7445743
Soy Sauce,107.3989983,569.2804674,160.4974958,290.6611018
Soy Sauce,103.5993322,568.4924875,150.2086811,287.7762938
Soy Sauce,63.56572379,514.4758735,97.18968386,267.0049917
Soy Sauce,61.12312812,525.9484193,90.52745424,274.7271215
Soy Sauce,86.00499168,575.9650582,122.7936772,323.1763727
Soy Sauce,89.3078203,566.1181364,127.7703827,304.9384359
Soy Sauce,93.34941764,567.5524126,148.6988353,314.5723794
Soy Sauce,88.96672213,553.8835275,136.7121464,278.2828619
Soy Sauce,107.6705491,608.234609,155.8219634,324.1514143
Soy Sauce,96.6748366,560.1111111,152.8937908,314.870915
Soy Sauce,97.76694215,569.5735537,153.614876,326.3768595
Soy Sauce,100.539604,570.9719472,159.4356436,318.2442244
Soy Sauce,103.9387417,588.5645695,159.1738411,322.6622517
Soy Sauce,110.7069536,596.9983444,147.7665563,314.5529801
Soy Sauce,116.0016474,591.8484349,161.8039539,342.7611203
Fish Sauce,20.00665557,140.1164725,18.5391015,75.62229617
Fish Sauce,20.70529801,137.7698675,18.49668874,54.6307947
Fish Sauce,22.50495049,141.0726073,19.87293729,47.87293729
Fish Sauce,22.63770492,145.5335516,19.73977087,48.83306055
Fish Sauce,26.81697171,166.5707155,21.47920133,58.56239601
Fish Sauce,23.2675367,147.223491,19.46166395,51.39151713
Fish Sauce,22.78104575,135.2724307,19.14355628,49.73735726
Fish Sauce,22.85148515,134.630363,19.32343234,51.01815182
Fish Sauce,23.12211221,134.823433,19.89108911,47.99834983
Fish Sauce,20.05823627,140.2828619,18.32113145,76.63560732
Fish Sauce,23.14638158,138.7766831,19.84893267,47.19376026
Fish Sauce,22.37271215,153.1747088,19.75041597,62.81031614
Fish Sauce,22.87848933,138.2606557,21.50819672,79.03934426
Fish Sauce,23.0066778,143.5792988,20.63772955,59.98998331
Fish Sauce,22.74290484,141.8914858,20.639399,60.24207012
Fish Sauce,22.9048414,150.2537563,20.44741235,61.70617696
Fish Sauce,20.12978369,139.8269551,18.5391015,73.90183028
Fish Sauce,20.24958403,141.3510815,18.6422629,74.76539101
Fish Sauce,20.04492512,133.063228,18.4093178,73.5374376
Fish Sauce,20.62063228,147.6422629,18.6156406,59.47088186
Fish Sauce,20.58222676,140.9407559,18.87640449,61.99897855
Fish Sauce,20.22129784,139.6389351,18.17304493,58.31946755
Fish Sauce,22.98835275,150.9883527,19.71214642,57.98336106
Fish Sauce,24.22697368,134.4203612,21.74876847,58.50738916
Fish Sauce,23.2462562,140.7004992,19.92512479,47.74209652
Fish Sauce,23.81198003,140.1381032,21.58735441,60.4093178
Fish Sauce,23.45588235,137.6732026,20.06372549,47.7254902
Fish Sauce,24.30130293,131.014658,21.06026059,51.1237785
Fish Sauce,23.44334975,138.9180328,21.1,60.6147541
Fish Sauce,22.58677686,140.2413223,20.92892562,55.48099174
Oyster Sauce,21.10696921,116.44084279,17.80551053,46.70988655
Oyster Sauce,19.24418605,114.54983389,16.70431894,51.08803987
Oyster Sauce,21.0266223,115.0382696,17.65391015,53.7437604
Oyster Sauce,20.12312812,112.90848586,17.14808652,51.27787022
Oyster Sauce,21.28264463,111.7785124,17.86115702,43.78842975
Oyster Sauce,21.81566069,110.89885808,18.03099511,49.18270799
Oyster Sauce,21.32463295,109.3360522,17.91843393,48.46655791
Oyster Sauce,21.11532125,116.96869852,17.76112026,46.06260297
Oyster Sauce,21.01633987,115.59803922,17.69444444,45.76797386
Oyster Sauce,21.35737705,116.89508197,17.85737705,46.93770492
Oyster Sauce,21.72532895,109.88998358,18.48768473,59.44006568
Oyster Sauce,21.34703947,109.22697368,18.48848684,58.79769737
Oyster Sauce,22.4624374,110.25876461,18.56594324,46.82804674
Oyster Sauce,19.18635607,115.2612313,16.65723794,56.19800333
Oyster Sauce,18.96173045,118.96505824,16.65224626,55.7703827
Oyster Sauce,19.69767442,105.11295681,17.0166113,51.30730897
Oyster Sauce,19.60732113,120.61397671,16.96339434,52.10648918
Oyster Sauce,19.36772047,121.25956739,16.76206323,50.79201331
Oyster Sauce,19.40765391,127.73377704,16.77537438,51.57404326
Oyster Sauce,21.46787479,120.88632619,18.35255354,41.00329489
Oyster Sauce,21.57422512,115.55791191,18.34910277,43.99021207
Oyster Sauce,21.54351396,109.47704918,18.30819672,43.95081967
Oyster Sauce,22.77996716,105.8377049,19.36721311,45.82459016
Oyster Sauce,22.95840266,106.7004992,19.58735441,48.72545757
Oyster Sauce,22.89351082,108.14975042,19.21464226,47.40266223
Oyster Sauce,22.70888158,115.72413793,19.01642036,45.85385878
Oyster Sauce,23.23039216,117.8972268,19.53996737,46.24143556
Oyster Sauce,22.97398374,117.14796748,19.6097561,48.40325203
Oyster Sauce,23.30819672,121.15220949,19.82160393,52.11456628
Oyster Sauce,21.87520799,125.74209651,18.57237937,44.58069884
Worcestershire Sauce,28.34608985,317.7104825,38.02828619,135.9966722
Worcestershire Sauce,30.17304493,325.202995,35.78202995,121.7004992
Worcestershire Sauce,31.86189684,329.3510815,34.47420965,139.3394343
Worcestershire Sauce,31.50915141,298.6222962,39.70382696,129.640599
Worcestershire Sauce,29.34158416,327.9257426,33.49009901,121.7326733
Worcestershire Sauce,28.48688525,321.9852459,33.43934426,113.3836066
Worcestershire Sauce,29.47039474,333.8371711,34.875,119.4884868
Worcestershire Sauce,41.63439065,376.5809683,52.8163606,166.2754591
Worcestershire Sauce,29.14003295,333.0939044,33.55518946,114.261944
