Trial,MQ136_mean,MQ136_std,MQ136_max,MQ136_min,MQ136_auc,MQ2_mean,MQ2_std,MQ2_max,MQ2_min,MQ2_auc,MQ3_mean,MQ3_std,MQ3_max,MQ3_min,MQ3_auc,MQ135_mean,MQ135_std,MQ135_max,MQ135_min,MQ135_auc,MQ138_mean,MQ138_std,MQ138_max,MQ138_min,MQ138_auc,MQ137_mean,MQ137_std,MQ137_max,MQ137_min,MQ137_auc,Label
Trial ,47.592592592592595,0.9529392837236005,50.0,46.0,1285.0,462.44444444444446,5.472715713788779,471.0,454.0,12486.0,60.370370370370374,3.0689381460543106,66.0,55.0,1630.0,153.5185185185185,13.739293125302714,177.0,132.0,4145.0,673.2592592592592,15.012569036674995,695.0,646.0,18178.0,707.5185185185185,13.549280069354431,729.0,685.0,19103.0,Soy Sauce
Trial 1,91.56405990016638,27.434137850927623,126.0,33.0,55030.0,584.0865224625624,50.92965199468196,633.0,425.0,351036.0,133.4475873544093,32.66108419767823,169.0,41.0,80202.0,336.2712146422629,55.209219250096055,383.0,179.0,202099.0,750.4525790349418,22.721305741817257,762.0,639.0,451022.0,764.1131447587354,23.08222681926039,778.0,665.0,459232.0,Soy Sauce
Trial 10,100.20798668885192,22.457465866638586,125.0,44.0,60225.0,575.9417637271215,70.67324169065432,633.0,311.0,346141.0,121.4575707154742,34.57411841221847,157.0,29.0,72996.0,298.87354409317805,72.84376175217835,368.0,107.0,179623.0,718.432612312812,62.066031082285825,759.0,480.0,431778.0,745.6439267886856,42.537950176431984,775.0,590.0,448132.0,Soy Sauce
Trial 11,105.66389351081531,29.413233082204023,134.0,32.0,63504.0,590.3344425956739,66.84695532336364,641.0,362.0,354791.0,136.3477537437604,35.93551998304515,168.0,32.0,81945.0,342.1863560732113,61.090031050165216,394.0,147.0,205654.0,743.0715474209651,34.888219969121494,765.0,588.0,446586.0,765.171381031614,27.629150601938502,782.0,625.0,459868.0,Soy Sauce
Trial 12,84.70189701897019,18.362150941194958,109.0,40.0,31255.0,539.6395663956639,67.46306953862613,603.0,319.0,199127.0,120.86449864498645,29.844367080386544,153.0,38.0,44599.0,261.4065040650407,58.86079817699707,325.0,86.0,96459.0,706.2140921409214,51.77484313213671,747.0,507.0,260593.0,762.5040650406504,38.76054778736051,791.0,591.0,281364.0,Soy Sauce
Trial 13,93.8102310231023,26.833343887243178,123.0,34.0,56849.0,574.7359735973597,78.32501629650316,637.0,275.0,348290.0,128.73927392739273,35.99910168664068,166.0,34.0,78016.0,297.6963696369637,62.894092604236164,358.0,80.0,180404.0,744.6435643564356,32.7862114295419,773.0,521.0,451254.0,773.523102310231,25.7449785730889,793.0,603.0,468755.0,Soy Sauce
Trial 14,85.83801652892562,26.149794987418627,121.0,31.0,51932.0,575.4561983471075,72.27534688512824,639.0,277.0,348151.0,119.81322314049586,39.940242433470814,164.0,22.0,72487.0,292.08429752066115,71.71934166114589,352.0,61.0,176711.0,742.7950413223141,52.03400962091714,773.0,398.0,449391.0,768.0495867768595,46.220930330919266,794.0,506.0,464670.0,Soy Sauce
Trial 15,96.77537437603993,24.839406843710325,125.0,38.0,58162.0,591.3677204658902,51.61175512919388,639.0,411.0,355412.0,132.2063227953411,26.74749170983484,162.0,56.0,79456.0,315.585690515807,41.41446363972916,354.0,168.0,189667.0,754.820299500832,10.981499519221648,769.0,709.0,453647.0,783.5474209650582,9.231799425704198,794.0,741.0,470912.0,Soy Sauce
Trial 16,81.01331114808653,26.064360808278394,116.0,30.0,48689.0,561.6605657237936,79.52394500587393,632.0,270.0,337558.0,118.57903494176372,41.67416784960657,164.0,23.0,71266.0,276.67886855241267,69.06857165214566,340.0,50.0,166284.0,732.3361064891847,57.86943975352043,766.0,361.0,440134.0,760.3843594009984,51.94471355380613,789.0,480.0,456991.0,Soy Sauce
Trial 17,84.82758620689656,26.897387465437703,119.0,33.0,51660.0,572.4646962233169,79.67686681238843,635.0,264.0,348631.0,116.6256157635468,40.62453011766332,161.0,26.0,71025.0,282.6190476190476,65.46874834553056,340.0,64.0,172115.0,735.7011494252873,45.005666660094526,766.0,446.0,448042.0,767.4351395730706,40.590705820869246,792.0,544.0,467368.0,Soy Sauce
Trial 18,86.47463175122749,26.642949119682985,118.0,33.0,52836.0,573.8592471358429,80.38817339035091,635.0,210.0,350628.0,118.13093289689034,39.62569396911503,161.0,25.0,72178.0,275.2291325695581,63.10153304064006,334.0,67.0,168165.0,723.8248772504091,56.13434116806593,762.0,429.0,442257.0,763.5090016366612,42.479622543157824,787.0,519.0,466504.0,Soy Sauce
Trial 19,84.89508196721312,27.551123426141114,119.0,32.0,51786.0,567.9409836065573,89.45653652417676,637.0,200.0,346444.0,117.9983606557377,40.6108884365712,162.0,28.0,71979.0,273.5672131147541,68.17219932704042,336.0,67.0,166876.0,727.644262295082,52.42480649397955,763.0,439.0,443863.0,759.8098360655738,51.85591546608337,789.0,495.0,463484.0,Soy Sauce
Trial 2,94.07154742096506,24.768073065189384,121.0,29.0,56537.0,578.7520798668885,55.66482263544202,625.0,284.0,347830.0,138.18801996672212,34.92753977186782,173.0,23.0,83051.0,302.5540765391015,75.37754659028673,369.0,58.0,181835.0,724.2396006655574,55.98543157161364,754.0,379.0,435268.0,746.2079866888519,52.05815578242642,775.0,465.0,448471.0,Soy Sauce
Trial 21,95.46710526315789,22.42154971496169,123.0,49.0,58044.0,603.375,37.459594459967974,641.0,483.0,366852.0,132.4128289473684,28.815696675454397,163.0,68.0,80507.0,303.05592105263156,32.35265431547967,340.0,198.0,184258.0,746.6973684210526,10.945162037272937,765.0,707.0,453992.0,776.2368421052631,7.996081969927902,789.0,742.0,471952.0,Soy Sauce
Trial 3,63.56572379367721,16.817195359234702,86.0,28.0,38203.0,514.4758735440931,81.73800420484747,586.0,221.0,309200.0,97.18968386023295,27.40539242879514,125.0,27.0,58411.0,267.00499168053244,63.50705785747027,332.0,84.0,160470.0,696.3394342762064,32.86985265644892,724.0,548.0,418500.0,735.5191347753744,43.66492498326106,766.0,552.0,442047.0,Soy Sauce
Trial 4,61.123128119800334,14.72311778134031,81.0,33.0,36735.0,525.9484193011647,52.2339770111998,578.0,376.0,316095.0,90.52745424292846,20.97251973499913,114.0,43.0,54407.0,274.7271214642263,39.38379879072411,317.0,155.0,165111.0,701.6056572379367,13.149944216136655,716.0,652.0,421665.0,748.0765391014975,15.444736930018891,761.0,683.0,449594.0,Soy Sauce
Trial 5,86.00499168053244,27.05682025856125,117.0,29.0,51689.0,575.9650582362729,68.12341089414012,632.0,273.0,346155.0,122.7936772046589,35.37727294305602,159.0,32.0,73799.0,323.1763727121464,68.43996488041763,384.0,121.0,194229.0,730.2662229617305,32.15005904684592,751.0,558.0,438890.0,761.5956738768718,29.36830070177622,781.0,647.0,457719.0,Soy Sauce
Trial 6,89.30782029950083,23.736772417488744,115.0,31.0,53674.0,566.1181364392679,87.5325716634556,631.0,195.0,340237.0,127.7703826955075,26.774162204453432,155.0,38.0,76790.0,304.93843594009985,78.93396134192024,380.0,69.0,183268.0,710.5457570715474,45.92236434341556,749.0,552.0,427038.0,751.69384359401,42.9484787351007,787.0,566.0,451768.0,Soy Sauce
Trial 7,93.34941763727122,25.785000679856264,123.0,28.0,56103.0,567.5524126455907,75.6309521963015,625.0,259.0,341099.0,148.69883527454243,22.740834916217917,172.0,58.0,89368.0,314.5723793677205,75.85300941580005,373.0,65.0,189058.0,747.4442595673877,18.418791618472277,761.0,641.0,449214.0,755.2279534109817,43.16122640591963,782.0,551.0,453892.0,Soy Sauce
Trial 8,88.96672212978369,22.882152489805563,115.0,31.0,53469.0,553.8835274542429,84.66753859292251,619.0,223.0,332884.0,136.71214642262896,27.56137309243906,165.0,31.0,82164.0,278.2828618968386,74.6184739951193,352.0,65.0,167248.0,712.1247920133111,34.502975361799955,746.0,545.0,427987.0,741.6738768718802,40.22007015209879,772.0,591.0,445746.0,Soy Sauce
Trial 9,107.67054908485856,9.59693246182733,119.0,81.0,64710.0,608.2346089850249,17.889284206087606,629.0,568.0,365549.0,155.82196339434276,15.289657531360232,171.0,107.0,93649.0,324.1514143094842,32.18010932914413,360.0,257.0,194815.0,729.7920133111481,18.305368754305498,749.0,684.0,438605.0,760.873544093178,11.961696310338594,773.0,732.0,457285.0,Soy Sauce
Trial 1,20.00665557404326,0.48944496002263527,21.0,18.0,12024.0,140.11647254575706,21.844551665664184,170.0,98.0,84210.0,18.53910149750416,0.8412524483637223,22.0,17.0,11142.0,75.62229617304493,5.113887852751349,84.0,65.0,45449.0,389.4675540765391,17.53131817574448,411.0,339.0,234070.0,447.7720465890183,20.97743698676278,478.0,403.0,269111.0,Fish Sauce
Trial 10,20.705298013245034,0.5041927623951795,25.0,19.0,12506.0,146.76986754966887,20.746459507628337,174.0,99.0,88649.0,18.496688741721854,0.68449403352128,22.0,17.0,11172.0,54.63079470198676,4.853596198406957,62.0,44.0,32997.0,342.9950331125828,23.307723512390254,372.0,293.0,207169.0,422.37417218543044,21.835986955058342,452.0,377.0,255114.0,Fish Sauce
Trial 11,20.607321131447588,0.5339205868363182,25.0,20.0,12385.0,121.72212978369384,19.96430240468268,148.0,79.0,73155.0,18.271214642262894,0.6485514555795524,24.0,17.0,10981.0,58.630615640599004,4.668369272837751,66.0,50.0,35237.0,355.1697171381032,18.401543054190604,380.0,318.0,213457.0,441.7154742096506,19.53427578043204,470.0,409.0,265471.0,Fish Sauce
Trial 12,20.694352159468437,0.5086638045083721,22.0,19.0,12458.0,125.7624584717608,20.49094409658095,152.0,79.0,75709.0,18.14950166112957,0.652804899421109,22.0,17.0,10926.0,58.57142857142857,5.055083387922641,66.0,49.0,35260.0,354.24916943521595,21.59844281119131,383.0,309.0,213258.0,440.87873754152827,21.271077014177624,470.0,403.0,265409.0,Fish Sauce
Trial 13,21.034653465346533,0.6628674051010632,23.0,18.0,12747.0,110.73927392739274,20.655304230927186,140.0,70.0,67108.0,18.778877887788777,0.895873964353301,21.0,16.0,11380.0,45.72112211221122,4.63554028397581,53.0,36.0,27707.0,321.476897689769,28.61676839337317,362.0,259.0,194815.0,424.92739273927396,34.91826394923714,469.0,347.0,257506.0,Fish Sauce
Trial 14,20.74917491749175,0.6940037704726637,23.0,18.0,12574.0,110.17656765676567,17.979641368241225,135.0,74.0,66767.0,18.493399339933994,0.8950483488606882,21.0,16.0,11207.0,45.6996699669967,4.218327905713486,52.0,36.0,27694.0,333.15346534653463,22.257224425936155,362.0,271.0,201891.0,441.1551155115512,30.23028826552966,491.0,372.0,267340.0,Fish Sauce
Trial 15,26.816971713810315,0.8709270679009544,29.0,24.0,16117.0,186.57071547420966,24.29358852827788,213.0,123.0,112129.0,21.47920133111481,0.8096650122189666,24.0,19.0,12909.0,58.562396006655575,6.341358597977024,66.0,42.0,35196.0,376.0732113144759,28.97427795818689,408.0,293.0,226020.0,495.3777038269551,32.88914626664174,533.0,407.0,297722.0,Fish Sauce
Trial 16,23.267536704730833,0.6926837191579799,26.0,22.0,14263.0,147.22349102773245,23.571500395172336,177.0,97.0,90248.0,19.461663947797717,0.8703462613455915,22.0,17.0,11930.0,51.39151712887439,4.864566408666167,59.0,40.0,31503.0,348.3996737357259,23.175515851151214,378.0,290.0,213569.0,466.85970636215336,27.979832364818932,504.0,401.0,286185.0,Fish Sauce
Trial 17,,,,,,135.27243066884176,24.239408951006475,167.0,85.0,82922.0,19.143556280587276,0.8271169362779643,22.0,17.0,11735.0,49.7373572593801,4.492646614546676,57.0,40.0,30489.0,338.9363784665579,23.694167437816457,372.0,286.0,207768.0,453.91517128874386,24.039580905103342,492.0,404.0,278250.0,Fish Sauce
Trial 18,22.85148514851485,0.6972762465270509,25.0,21.0,13848.0,139.63036303630363,18.67691261650882,165.0,101.0,84616.0,19.323432343234323,0.7925053858975896,22.0,16.0,11710.0,51.01815181518152,3.564307923517807,58.0,43.0,30917.0,352.0858085808581,16.30017199861648,374.0,313.0,213364.0,466.36138613861385,18.41391784373569,494.0,429.0,282615.0,Fish Sauce
Trial 19,22.26829268292683,0.6610311079811738,24.0,20.0,13695.0,130.32682926829267,23.01520555403379,160.0,84.0,80151.0,18.85691056910569,0.8198831267904049,21.0,16.0,11597.0,48.90243902439025,4.420599661610764,56.0,40.0,30075.0,341.4341463414634,21.527259441647818,370.0,289.0,209982.0,452.40162601626014,23.59956587632902,487.0,403.0,278227.0,Fish Sauce
Trial 2,20.058236272878535,0.5636842947151989,21.0,18.0,12055.0,140.2828618968386,23.18291274603442,172.0,97.0,84310.0,18.321131447587355,0.6789215665574629,20.0,17.0,11011.0,76.63560732113145,5.7062300663044585,86.0,66.0,46058.0,384.4841930116473,21.498910696144964,416.0,341.0,231075.0,447.0648918469218,24.329356466071903,484.0,403.0,268686.0,Fish Sauce
Trial 3,20.129783693843596,0.5470794822210212,21.0,19.0,12098.0,139.8269550748752,19.810416062567313,168.0,98.0,84036.0,18.53910149750416,0.829300283219639,20.0,17.0,11142.0,73.9018302828619,4.967650423148125,82.0,64.0,44415.0,394.53910149750413,19.889266292866782,420.0,347.0,237118.0,451.2412645590682,22.293236203630027,484.0,407.0,271196.0,Fish Sauce
Trial 4,20.249584026622298,0.5420157054638517,23.0,19.0,12170.0,141.35108153078204,20.639240278239495,171.0,100.0,84952.0,18.64226289517471,0.807706766347539,22.0,17.0,11204.0,74.76539101497504,5.163857522659643,83.0,64.0,44934.0,404.0881863560732,16.81683284965963,425.0,359.0,242857.0,461.01331114808653,20.401538778822196,489.0,417.0,277069.0,Fish Sauce
Trial 5,20.044925124792012,0.5559944421348874,23.0,18.0,12047.0,137.06322795341097,21.213658259127747,168.0,96.0,82375.0,18.409317803660567,0.8312809315671744,21.0,16.0,11064.0,73.53743760399334,5.106096915811608,82.0,63.0,44196.0,402.2579034941764,18.546026970845595,427.0,353.0,241757.0,451.47254575707154,20.8639438925243,484.0,407.0,271335.0,Fish Sauce
Trial 6,20.62063227953411,0.49875745730858695,21.0,19.0,12393.0,147.6422628951747,16.26200242894785,171.0,116.0,88733.0,18.615640599001665,0.5829139297813061,20.0,17.0,11188.0,59.470881863560734,5.988027493722611,69.0,46.0,35742.0,382.28785357737104,22.219941326750863,411.0,320.0,229755.0,453.61730449251246,21.26835040243433,481.0,401.0,272624.0,Fish Sauce
