MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
19,128,15,63,327,462,Cheddar
19,128,16,62,326,462,Cheddar
18,128,16,63,327,462,Cheddar
18,128,16,63,327,461,Cheddar
18,128,16,62,327,461,Cheddar
19,128,16,62,326,461,Cheddar
18,128,16,63,326,461,Cheddar
19,128,15,61,327,462,Cheddar
19,128,15,62,327,462,Cheddar
19,128,16,62,327,461,Cheddar
18,128,15,63,327,461,Cheddar
18,128,16,63,326,461,Cheddar
19,128,15,62,327,462,Cheddar
19,128,15,62,326,461,Cheddar
19,128,16,62,327,461,Cheddar
19,127,16,62,327,461,Cheddar
19,128,15,62,326,461,Cheddar
19,128,16,62,326,461,Cheddar
19,127,15,63,327,461,Cheddar
18,128,16,63,326,460,Cheddar
18,127,15,62,327,461,Cheddar
18,127,16,62,326,460,Cheddar
18,128,16,62,326,461,Cheddar
19,128,15,62,327,461,Cheddar
19,128,15,62,327,460,Cheddar
19,128,16,62,326,460,Cheddar
19,128,15,61,326,460,Cheddar
18,127,16,62,326,459,Cheddar
19,128,16,62,326,459,Cheddar
18,128,16,62,326,459,Cheddar
19,128,16,62,326,459,Cheddar
19,128,15,62,326,460,Cheddar
19,128,16,62,326,459,Cheddar
19,127,15,63,326,460,Cheddar
19,128,16,62,326,459,Cheddar
19,126,15,62,326,460,Cheddar
