Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 3,-3.533333333333335,-135.53333333333336,-16.4,-47.73333333333332,-128.93333333333328,-167.26666666666665,Soy Sauce
Trial 3,-2.533333333333335,-131.53333333333336,-16.4,-46.73333333333332,-123.93333333333328,-164.26666666666665,Soy Sauce
Trial 3,-2.533333333333335,-126.53333333333336,-16.4,-45.73333333333332,-119.93333333333328,-161.26666666666665,Soy Sauce
Trial 3,-2.533333333333335,-122.53333333333336,-15.399999999999999,-43.73333333333332,-115.93333333333328,-159.26666666666665,Soy Sauce
Trial 3,-2.533333333333335,-118.53333333333336,-14.399999999999999,-41.73333333333332,-111.93333333333328,-155.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-113.53333333333336,-14.399999999999999,-40.73333333333332,-107.93333333333328,-152.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-108.53333333333336,-13.399999999999999,-39.73333333333332,-104.93333333333328,-149.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-105.53333333333336,-14.399999999999999,-37.73333333333332,-100.93333333333328,-145.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-99.53333333333336,-13.399999999999999,-35.73333333333332,-97.93333333333328,-143.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-95.53333333333336,-12.399999999999999,-33.73333333333332,-95.93333333333328,-140.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-91.53333333333336,-12.399999999999999,-33.73333333333332,-92.93333333333328,-136.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-87.53333333333336,-11.399999999999999,-31.73333333333332,-89.93333333333328,-133.26666666666665,Soy Sauce
Trial 3,-1.533333333333335,-83.53333333333336,-11.399999999999999,-29.73333333333332,-86.93333333333328,-130.26666666666665,Soy Sauce
Trial 3,-0.533333333333335,-79.53333333333336,-11.399999999999999,-29.73333333333332,-84.93333333333328,-129.26666666666665,Soy Sauce
Trial 3,-0.533333333333335,-75.53333333333336,-11.399999999999999,-27.73333333333332,-82.93333333333328,-127.26666666666665,Soy Sauce
Trial 3,-0.533333333333335,-72.53333333333336,-10.399999999999999,-26.73333333333332,-79.93333333333328,-123.26666666666665,Soy Sauce
Trial 3,-0.533333333333335,-68.53333333333336,-10.399999999999999,-24.73333333333332,-77.93333333333328,-120.26666666666665,Soy Sauce
Trial 3,-0.533333333333335,-64.53333333333336,-9.399999999999999,-23.73333333333332,-74.93333333333328,-118.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-60.53333333333336,-8.399999999999999,-22.73333333333332,-73.93333333333328,-117.26666666666665,Soy Sauce
Trial 3,-0.533333333333335,-58.53333333333336,-9.399999999999999,-20.73333333333332,-71.93333333333328,-114.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-55.53333333333336,-8.399999999999999,-19.73333333333332,-69.93333333333328,-111.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-51.53333333333336,-7.399999999999999,-18.73333333333332,-67.93333333333328,-110.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-49.53333333333336,-7.399999999999999,-16.73333333333332,-65.93333333333328,-108.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-45.53333333333336,-6.399999999999999,-15.73333333333332,-63.93333333333328,-105.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-43.53333333333336,-6.399999999999999,-13.73333333333332,-62.93333333333328,-103.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-40.53333333333336,-5.399999999999999,-12.73333333333332,-60.93333333333328,-101.26666666666665,Soy Sauce
Trial 3,1.466666666666665,-37.53333333333336,-5.399999999999999,-11.73333333333332,-58.93333333333328,-98.26666666666665,Soy Sauce
Trial 3,0.466666666666665,-34.53333333333336,-5.399999999999999,-10.73333333333332,-57.93333333333328,-97.26666666666665,Soy Sauce
Trial 3,1.466666666666665,-32.53333333333336,-5.399999999999999,-9.73333333333332,-56.93333333333328,-96.26666666666665,Soy Sauce
Trial 3,1.466666666666665,-29.53333333333336,-4.399999999999999,-7.73333333333332,-54.93333333333328,-92.26666666666665,Soy Sauce
Trial 3,1.466666666666665,-27.53333333333336,-4.399999999999999,-6.73333333333332,-53.93333333333328,-90.26666666666665,Soy Sauce
Trial 3,1.466666666666665,-24.53333333333336,-3.3999999999999986,-4.73333333333332,-52.93333333333328,-89.26666666666665,Soy Sauce
Trial 3,1.466666666666665,-22.53333333333336,-2.3999999999999986,-3.73333333333332,-50.93333333333328,-86.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-19.53333333333336,-2.3999999999999986,-2.73333333333332,-49.93333333333328,-86.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-17.53333333333336,-2.3999999999999986,-1.73333333333332,-48.93333333333328,-83.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-16.53333333333336,-2.3999999999999986,-0.7333333333333201,-47.93333333333328,-82.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-13.53333333333336,-1.3999999999999986,1.26666666666668,-46.93333333333328,-79.26666666666665,Soy Sauce
Trial 3,2.466666666666665,-11.53333333333336,-0.3999999999999986,2.26666666666668,-45.93333333333328,-78.26666666666665,Soy Sauce
