Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,24,143,22,67,441,553,Worcestershire Sauce
Trial 1,24,144,23,68,444,553,Worcestershire Sauce
Trial 1,24,146,23,70,451,556,Worcestershire Sauce
Trial 1,24,147,23,69,449,554,Worcestershire Sauce
Trial 1,24,148,22,70,452,558,Worcestershire Sauce
Trial 1,24,148,22,70,454,557,Worcestershire Sauce
Trial 1,24,149,22,71,456,560,Worcestershire Sauce
Trial 1,24,150,22,72,458,562,Worcestershire Sauce
Trial 1,24,151,23,73,461,565,Worcestershire Sauce
Trial 1,25,151,22,74,466,567,Worcestershire Sauce
Trial 1,25,153,23,74,465,567,Worcestershire Sauce
Trial 1,25,154,22,75,466,568,Worcestershire Sauce
Trial 1,24,154,22,76,467,570,Worcestershire Sauce
Trial 1,24,156,23,77,469,571,Worcestershire Sauce
Trial 1,24,156,23,76,472,573,Worcestershire Sauce
Trial 1,24,157,24,78,474,575,Worcestershire Sauce
Trial 1,24,158,23,78,479,578,Worcestershire Sauce
Trial 1,25,161,24,79,478,578,Worcestershire Sauce
Trial 1,24,162,23,79,478,578,Worcestershire Sauce
Trial 1,23,163,24,81,480,581,Worcestershire Sauce
Trial 1,24,165,24,80,483,581,Worcestershire Sauce
Trial 1,25,165,23,81,482,580,Worcestershire Sauce
Trial 1,25,166,23,82,484,582,Worcestershire Sauce
Trial 1,24,168,23,82,488,586,Worcestershire Sauce
Trial 1,24,171,25,84,489,587,Worcestershire Sauce
Trial 1,24,171,23,85,493,589,Worcestershire Sauce
Trial 1,24,171,24,84,491,590,Worcestershire Sauce
Trial 1,23,173,24,85,492,588,Worcestershire Sauce
Trial 1,25,175,23,85,495,591,Worcestershire Sauce
Trial 1,24,176,24,86,495,590,Worcestershire Sauce
Trial 1,24,178,24,86,497,591,Worcestershire Sauce
Trial 1,24,179,23,87,498,593,Worcestershire Sauce
Trial 1,25,180,24,88,499,595,Worcestershire Sauce
Trial 1,25,182,24,88,501,595,Worcestershire Sauce
Trial 1,25,182,24,90,507,601,Worcestershire Sauce
Trial 1,25,185,24,89,508,601,Worcestershire Sauce
Trial 1,24,187,24,91,508,602,Worcestershire Sauce
Trial 1,25,187,25,90,503,597,Worcestershire Sauce
Trial 1,25,188,24,92,507,601,Worcestershire Sauce
Trial 1,25,189,24,92,509,601,Worcestershire Sauce
Trial 1,24,191,25,94,514,605,Worcestershire Sauce
Trial 1,24,193,24,93,514,607,Worcestershire Sauce
Trial 1,25,194,25,94,512,605,Worcestershire Sauce
Trial 1,24,195,25,94,514,605,Worcestershire Sauce
Trial 1,25,196,25,95,515,603,Worcestershire Sauce
Trial 1,25,198,25,95,516,606,Worcestershire Sauce
Trial 1,24,199,25,94,519,609,Worcestershire Sauce
Trial 1,27,202,25,96,519,610,Worcestershire Sauce
Trial 1,25,202,26,96,520,609,Worcestershire Sauce
Trial 1,25,203,24,96,520,610,Worcestershire Sauce
Trial 1,26,206,26,98,523,611,Worcestershire Sauce
Trial 1,26,205,25,99,523,613,Worcestershire Sauce
Trial 1,24,206,25,99,526,616,Worcestershire Sauce
Trial 1,25,208,25,99,525,614,Worcestershire Sauce
Trial 1,26,210,25,99,527,616,Worcestershire Sauce
Trial 1,26,211,26,100,527,617,Worcestershire Sauce
Trial 1,25,211,26,100,527,616,Worcestershire Sauce
Trial 1,25,213,26,101,530,619,Worcestershire Sauce
Trial 1,25,214,25,101,529,617,Worcestershire Sauce
Trial 1,25,214,25,102,529,616,Worcestershire Sauce
Trial 1,27,216,26,102,530,618,Worcestershire Sauce
Trial 1,25,217,26,103,533,619,Worcestershire Sauce
Trial 1,26,219,26,103,533,622,Worcestershire Sauce
Trial 1,26,220,26,104,534,625,Worcestershire Sauce
Trial 1,25,221,25,104,535,622,Worcestershire Sauce
Trial 1,26,222,27,104,535,622,Worcestershire Sauce
Trial 1,26,223,25,105,539,623,Worcestershire Sauce
Trial 1,25,224,26,105,537,623,Worcestershire Sauce
Trial 1,25,225,27,106,537,623,Worcestershire Sauce
Trial 1,26,226,26,105,538,623,Worcestershire Sauce
Trial 1,25,228,27,105,538,623,Worcestershire Sauce
Trial 1,25,229,27,107,540,627,Worcestershire Sauce
Trial 1,25,231,27,107,540,626,Worcestershire Sauce
Trial 1,25,230,27,107,540,627,Worcestershire Sauce
Trial 1,26,231,27,108,541,627,Worcestershire Sauce
Trial 1,25,233,27,109,543,630,Worcestershire Sauce
Trial 1,26,234,27,108,543,628,Worcestershire Sauce
Trial 1,26,235,27,109,543,630,Worcestershire Sauce
Trial 1,26,236,27,110,546,632,Worcestershire Sauce
Trial 1,26,238,27,109,548,636,Worcestershire Sauce
Trial 1,25,237,27,109,549,636,Worcestershire Sauce
Trial 1,26,238,27,110,545,631,Worcestershire Sauce
Trial 1,26,241,27,111,548,634,Worcestershire Sauce
Trial 1,26,241,29,112,549,634,Worcestershire Sauce
Trial 1,26,242,27,112,547,632,Worcestershire Sauce
Trial 1,26,243,28,112,548,634,Worcestershire Sauce
Trial 1,27,244,27,112,549,634,Worcestershire Sauce
Trial 1,26,244,29,112,549,633,Worcestershire Sauce
Trial 1,26,245,28,113,550,635,Worcestershire Sauce
Trial 1,26,247,28,113,552,636,Worcestershire Sauce
Trial 1,25,247,28,113,551,635,Worcestershire Sauce
Trial 1,26,248,28,114,551,636,Worcestershire Sauce
Trial 1,26,250,28,114,551,635,Worcestershire Sauce
Trial 1,26,250,28,114,553,638,Worcestershire Sauce
Trial 1,26,250,29,115,552,638,Worcestershire Sauce
Trial 1,26,252,28,115,553,638,Worcestershire Sauce
Trial 1,26,253,28,116,558,643,Worcestershire Sauce
Trial 1,26,254,28,116,554,639,Worcestershire Sauce
Trial 1,27,256,29,116,556,642,Worcestershire Sauce
Trial 1,26,255,29,116,556,640,Worcestershire Sauce
Trial 1,27,256,29,116,557,640,Worcestershire Sauce
Trial 1,27,258,28,118,558,642,Worcestershire Sauce
Trial 1,26,259,29,117,556,640,Worcestershire Sauce
Trial 1,27,260,29,118,559,642,Worcestershire Sauce
Trial 1,27,260,29,118,559,644,Worcestershire Sauce
Trial 1,27,263,31,119,560,645,Worcestershire Sauce
Trial 1,28,262,30,118,559,642,Worcestershire Sauce
Trial 1,26,263,30,119,559,645,Worcestershire Sauce
Trial 1,26,264,30,118,557,643,Worcestershire Sauce
Trial 1,27,264,29,119,559,643,Worcestershire Sauce
Trial 1,26,265,30,121,563,648,Worcestershire Sauce
Trial 1,28,266,30,120,560,644,Worcestershire Sauce
Trial 1,27,266,30,120,561,647,Worcestershire Sauce
Trial 1,27,267,28,120,562,646,Worcestershire Sauce
Trial 1,26,269,30,121,561,646,Worcestershire Sauce
Trial 1,27,270,31,121,563,647,Worcestershire Sauce
Trial 1,27,270,30,122,563,648,Worcestershire Sauce
Trial 1,27,271,30,122,564,651,Worcestershire Sauce
Trial 1,27,272,30,121,565,652,Worcestershire Sauce
Trial 1,27,271,31,122,564,651,Worcestershire Sauce
Trial 1,28,272,31,122,565,650,Worcestershire Sauce
Trial 1,28,273,31,122,565,649,Worcestershire Sauce
Trial 1,27,275,31,122,563,646,Worcestershire Sauce
Trial 1,27,276,31,124,566,649,Worcestershire Sauce
Trial 1,27,275,32,123,565,650,Worcestershire Sauce
Trial 1,27,277,31,125,569,653,Worcestershire Sauce
Trial 1,27,276,31,124,565,652,Worcestershire Sauce
Trial 1,27,278,31,125,567,651,Worcestershire Sauce
Trial 1,28,278,31,124,566,650,Worcestershire Sauce
Trial 1,27,278,32,124,565,648,Worcestershire Sauce
Trial 1,28,281,32,125,566,651,Worcestershire Sauce
Trial 1,28,280,32,125,567,651,Worcestershire Sauce
Trial 1,27,281,32,125,569,654,Worcestershire Sauce
Trial 1,27,281,32,126,567,652,Worcestershire Sauce
Trial 1,28,282,32,125,568,651,Worcestershire Sauce
Trial 1,28,283,32,126,567,652,Worcestershire Sauce
Trial 1,28,284,32,127,566,650,Worcestershire Sauce
Trial 1,27,285,32,127,571,658,Worcestershire Sauce
Trial 1,28,285,32,128,571,656,Worcestershire Sauce
Trial 1,28,285,32,127,570,656,Worcestershire Sauce
Trial 1,30,287,33,128,569,655,Worcestershire Sauce
Trial 1,28,288,33,128,571,655,Worcestershire Sauce
Trial 1,29,290,33,128,570,656,Worcestershire Sauce
Trial 1,29,289,33,128,572,654,Worcestershire Sauce
Trial 1,28,288,33,128,570,655,Worcestershire Sauce
Trial 1,28,288,32,128,570,654,Worcestershire Sauce
Trial 1,28,290,33,129,574,660,Worcestershire Sauce
Trial 1,28,291,33,130,571,658,Worcestershire Sauce
Trial 1,28,292,33,130,573,658,Worcestershire Sauce
Trial 1,28,291,33,130,571,657,Worcestershire Sauce
Trial 1,28,292,33,130,570,655,Worcestershire Sauce
Trial 1,29,292,34,130,571,657,Worcestershire Sauce
Trial 1,29,294,33,131,576,659,Worcestershire Sauce
Trial 1,28,294,33,130,572,657,Worcestershire Sauce
Trial 1,29,296,33,131,574,660,Worcestershire Sauce
Trial 1,29,296,34,131,576,661,Worcestershire Sauce
Trial 1,29,299,34,132,575,659,Worcestershire Sauce
Trial 1,28,297,35,132,575,660,Worcestershire Sauce
Trial 1,28,296,34,132,573,658,Worcestershire Sauce
Trial 1,28,299,35,132,579,663,Worcestershire Sauce
Trial 1,29,299,36,134,577,663,Worcestershire Sauce
Trial 1,28,299,35,133,576,661,Worcestershire Sauce
Trial 1,28,298,34,133,574,660,Worcestershire Sauce
Trial 1,28,299,34,133,574,660,Worcestershire Sauce
Trial 1,29,300,34,132,574,660,Worcestershire Sauce
Trial 1,28,302,35,133,577,663,Worcestershire Sauce
Trial 1,29,300,35,134,575,661,Worcestershire Sauce
Trial 1,29,301,34,134,575,660,Worcestershire Sauce
Trial 1,28,302,35,134,575,662,Worcestershire Sauce
Trial 1,28,303,35,134,575,661,Worcestershire Sauce
Trial 1,29,304,35,135,577,664,Worcestershire Sauce
Trial 1,28,303,35,134,576,662,Worcestershire Sauce
Trial 1,28,304,35,135,576,662,Worcestershire Sauce
Trial 1,29,307,35,136,578,664,Worcestershire Sauce
Trial 1,29,305,35,136,576,662,Worcestershire Sauce
Trial 1,29,307,36,136,581,669,Worcestershire Sauce
Trial 1,31,306,36,136,578,663,Worcestershire Sauce
Trial 1,29,307,35,136,578,664,Worcestershire Sauce
Trial 1,29,308,36,137,579,665,Worcestershire Sauce
Trial 1,29,309,36,136,577,663,Worcestershire Sauce
Trial 1,29,308,36,136,578,665,Worcestershire Sauce
Trial 1,29,309,36,136,577,663,Worcestershire Sauce
Trial 1,30,309,36,137,577,665,Worcestershire Sauce
Trial 1,29,310,36,137,577,664,Worcestershire Sauce
Trial 1,30,310,36,137,577,662,Worcestershire Sauce
Trial 1,29,310,37,137,577,664,Worcestershire Sauce
Trial 1,29,310,36,138,579,664,Worcestershire Sauce
Trial 1,30,311,36,137,578,664,Worcestershire Sauce
Trial 1,29,312,37,139,581,667,Worcestershire Sauce
Trial 1,29,312,37,138,578,665,Worcestershire Sauce
Trial 1,30,313,37,139,579,665,Worcestershire Sauce
Trial 1,30,314,37,139,579,666,Worcestershire Sauce
Trial 1,29,314,37,139,579,666,Worcestershire Sauce
Trial 1,29,312,36,138,579,665,Worcestershire Sauce
Trial 1,29,314,37,139,579,667,Worcestershire Sauce
Trial 1,30,315,36,140,579,666,Worcestershire Sauce
Trial 1,30,316,37,140,584,672,Worcestershire Sauce
Trial 1,29,318,38,140,581,671,Worcestershire Sauce
Trial 1,30,317,38,140,581,669,Worcestershire Sauce
Trial 1,30,317,36,140,581,667,Worcestershire Sauce
Trial 1,30,316,36,141,582,668,Worcestershire Sauce
Trial 1,30,318,38,141,582,669,Worcestershire Sauce
Trial 1,31,319,38,140,579,666,Worcestershire Sauce
Trial 1,30,321,37,141,583,672,Worcestershire Sauce
Trial 1,30,319,38,141,580,668,Worcestershire Sauce
Trial 1,30,319,38,141,580,668,Worcestershire Sauce
Trial 1,30,319,38,142,581,669,Worcestershire Sauce
Trial 1,29,321,38,142,583,671,Worcestershire Sauce
Trial 1,30,320,39,142,581,670,Worcestershire Sauce
Trial 1,30,320,38,142,582,669,Worcestershire Sauce
Trial 1,30,321,39,142,581,668,Worcestershire Sauce
Trial 1,30,322,39,143,581,670,Worcestershire Sauce
Trial 1,29,324,38,142,583,671,Worcestershire Sauce
Trial 1,30,322,39,143,582,670,Worcestershire Sauce
Trial 1,30,322,38,143,585,671,Worcestershire Sauce
Trial 1,30,323,39,143,581,670,Worcestershire Sauce
Trial 1,31,323,38,143,581,668,Worcestershire Sauce
Trial 1,30,324,39,143,581,669,Worcestershire Sauce
Trial 1,30,324,39,142,584,674,Worcestershire Sauce
Trial 1,30,325,39,144,582,670,Worcestershire Sauce
Trial 1,31,326,39,144,583,670,Worcestershire Sauce
Trial 1,30,324,39,144,583,672,Worcestershire Sauce
Trial 1,30,327,39,144,583,672,Worcestershire Sauce
Trial 1,30,326,39,144,583,670,Worcestershire Sauce
Trial 1,31,328,39,144,585,674,Worcestershire Sauce
Trial 1,30,328,40,145,584,671,Worcestershire Sauce
Trial 1,30,330,40,145,586,676,Worcestershire Sauce
Trial 1,30,328,39,145,583,670,Worcestershire Sauce
Trial 1,31,328,40,145,583,671,Worcestershire Sauce
Trial 1,30,331,40,146,585,674,Worcestershire Sauce
Trial 1,31,328,40,145,583,672,Worcestershire Sauce
Trial 1,29,329,40,146,584,671,Worcestershire Sauce
Trial 1,31,329,40,146,584,671,Worcestershire Sauce
Trial 1,30,331,41,147,584,672,Worcestershire Sauce
Trial 1,31,330,40,146,584,671,Worcestershire Sauce
Trial 1,31,330,41,146,584,676,Worcestershire Sauce
Trial 1,31,332,41,146,584,672,Worcestershire Sauce
Trial 1,31,333,42,146,586,675,Worcestershire Sauce
Trial 1,31,332,40,146,584,672,Worcestershire Sauce
