Trial,MQ136,MQ2,MQ3,MQ135,MQ138,MQ137,Label
Trial 1,1.5,59.099999999999994,3.2333333333333343,21.03333333333333,77.36666666666667,89.06666666666666,Worcestershire Sauce
Trial 1,1.5,60.099999999999994,4.233333333333334,22.03333333333333,80.36666666666667,89.06666666666666,Worcestershire Sauce
Trial 1,1.5,62.099999999999994,4.233333333333334,24.03333333333333,87.36666666666667,92.06666666666666,Worcestershire Sauce
Trial 1,1.5,63.099999999999994,4.233333333333334,23.03333333333333,85.36666666666667,90.06666666666666,Worcestershire Sauce
Trial 1,1.5,64.1,3.2333333333333343,24.03333333333333,88.36666666666667,94.06666666666666,Worcestershire Sauce
Trial 1,1.5,64.1,3.2333333333333343,24.03333333333333,90.36666666666667,93.06666666666666,Worcestershire Sauce
Trial 1,1.5,65.1,3.2333333333333343,25.03333333333333,92.36666666666667,96.06666666666666,Worcestershire Sauce
Trial 1,1.5,66.1,3.2333333333333343,26.03333333333333,94.36666666666667,98.06666666666666,Worcestershire Sauce
Trial 1,1.5,67.1,4.233333333333334,27.03333333333333,97.36666666666667,101.06666666666666,Worcestershire Sauce
Trial 1,2.5,67.1,3.2333333333333343,28.03333333333333,102.36666666666667,103.06666666666666,Worcestershire Sauce
Trial 1,2.5,69.1,4.233333333333334,28.03333333333333,101.36666666666667,103.06666666666666,Worcestershire Sauce
Trial 1,2.5,70.1,3.2333333333333343,29.03333333333333,102.36666666666667,104.06666666666666,Worcestershire Sauce
Trial 1,1.5,70.1,3.2333333333333343,30.03333333333333,103.36666666666667,106.06666666666666,Worcestershire Sauce
Trial 1,1.5,72.1,4.233333333333334,31.03333333333333,105.36666666666667,107.06666666666666,Worcestershire Sauce
Trial 1,1.5,72.1,4.233333333333334,30.03333333333333,108.36666666666667,109.06666666666666,Worcestershire Sauce
Trial 1,1.5,73.1,5.233333333333334,32.03333333333333,110.36666666666667,111.06666666666666,Worcestershire Sauce
Trial 1,1.5,74.1,4.233333333333334,32.03333333333333,115.36666666666667,114.06666666666666,Worcestershire Sauce
Trial 1,2.5,77.1,5.233333333333334,33.03333333333333,114.36666666666667,114.06666666666666,Worcestershire Sauce
Trial 1,1.5,78.1,4.233333333333334,33.03333333333333,114.36666666666667,114.06666666666666,Worcestershire Sauce
Trial 1,0.5,79.1,5.233333333333334,35.03333333333333,116.36666666666667,117.06666666666666,Worcestershire Sauce
Trial 1,1.5,81.1,5.233333333333334,34.03333333333333,119.36666666666667,117.06666666666666,Worcestershire Sauce
